order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
o0000000000000000000000000000,1,p0000000000000000000000000154,s0000000000000000000000000055,2017-04-25 18:17:40,53.63,25.48
o0000000000000000000000000000,2,p0000000000000000000000000072,s0000000000000000000000000055,2017-04-25 18:17:40,188.29,23.43
o0000000000000000000000000000,3,p0000000000000000000000000134,s0000000000000000000000000055,2017-04-25 18:17:40,203.64,25.21
o0000000000000000000000000001,1,p0000000000000000000000000063,s0000000000000000000000000005,2018-04-25 17:53:26,14.65,35.03
o0000000000000000000000000002,1,p0000000000000000000000000075,s0000000000000000000000000032,2017-07-04 08:29:51,154.61,34.41
o0000000000000000000000000002,2,p0000000000000000000000000034,s0000000000000000000000000032,2017-07-04 08:29:51,197.53,35.81
o0000000000000000000000000002,3,p0000000000000000000000000155,s0000000000000000000000000032,2017-07-04 08:29:51,156.97,37.3
o0000000000000000000000000003,1,p0000000000000000000000000149,s0000000000000000000000000010,2017-05-02 18:23:46,201.67,27.36
o0000000000000000000000000004,1,p0000000000000000000000000015,s0000000000000000000000000037,2018-04-21 15:15:24,374.62,18.51
o0000000000000000000000000005,1,p0000000000000000000000000137,s0000000000000000000000000055,2017-02-22 05:24:38,164.51,18.19
o0000000000000000000000000006,1,p0000000000000000000000000107,s0000000000000000000000000059,2017-07-26 07:51:02,250.59,42.33
o0000000000000000000000000006,2,p0000000000000000000000000004,s0000000000000000000000000059,2017-07-26 07:51:02,105.38,37.12
o0000000000000000000000000006,3,p0000000000000000000000000152,s0000000000000000000000000059,2017-07-26 07:51:02,25.03,40.3
o0000000000000000000000000007,1,p0000000000000000000000000070,s0000000000000000000000000020,2017-12-19 06:08:42,35.65,24.45
o0000000000000000000000000008,1,p0000000000000000000000000057,s0000000000000000000000000019,2018-02-13 07:06:53,128.69,23.14
o0000000000000000000000000009,1,p0000000000000000000000000048,s0000000000000000000000000017,2018-02-28 17:09:52,324.2,27.81
o0000000000000000000000000010,1,p0000000000000000000000000136,s0000000000000000000000000025,2018-02-11 16:31:56,263.7,31.22
o0000000000000000000000000010,2,p0000000000000000000000000092,s0000000000000000000000000025,2018-02-11 16:31:56,210.97,32.35
o0000000000000000000000000010,3,p0000000000000000000000000025,s0000000000000000000000000025,2018-02-11 16:31:56,323.49,33.7
o0000000000000000000000000011,1,p0000000000000000000000000125,s0000000000000000000000000015,2017-05-19 15:33:41,387.01,22.94
o0000000000000000000000000012,1,p0000000000000000000000000059,s0000000000000000000000000004,2017-11-05 07:48:19,38.37,35.05
