review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
r0000000000000000000000000000,o0000000000000000000000000000,1,,,2017-04-29 18:38:29,2017-04-30 18:38:29
r0000000000000000000000000001,o0000000000000000000000000001,2,,,2018-04-30 02:20:37,2018-05-01 02:20:37
r0000000000000000000000000002,o0000000000000000000000000002,3,,,2017-07-18 22:46:35,2017-07-19 22:46:35
r0000000000000000000000000003,o0000000000000000000000000003,5,,,2017-05-01 12:33:46,2017-05-02 12:33:46
r0000000000000000000000000004,o0000000000000000000000000004,4,,,2018-04-26 23:36:53,2018-04-27 23:36:53
r0000000000000000000000000005,o0000000000000000000000000005,5,,,2017-03-12 03:07:01,2017-03-13 03:07:01
r0000000000000000000000000006,o0000000000000000000000000006,4,,,2017-08-03 00:21:28,2017-08-04 00:21:28
r0000000000000000000000000007,o0000000000000000000000000007,5,,,2017-12-28 16:59:02,2017-12-29 16:59:02
r0000000000000000000000000008,o0000000000000000000000000008,5,,,2018-03-03 11:59:36,2018-03-04 11:59:36
r0000000000000000000000000009,o0000000000000000000000000009,5,,,2018-02-27 16:27:36,2018-02-28 16:27:36
r0000000000000000000000000010,o0000000000000000000000000010,4,,,2018-02-11 07:30:28,2018-02-12 07:30:28
r0000000000000000000000000011,o0000000000000000000000000011,5,,,2017-06-05 15:05:50,2017-06-06 15:05:50
r0000000000000000000000000012,o0000000000000000000000000012,1,,,2017-11-07 07:34:56,2017-11-08 07:34:56
r0000000000000000000000000013,o0000000000000000000000000013,4,,,2017-04-24 00:28:59,2017-04-25 00:28:59
r0000000000000000000000000014,o0000000000000000000000000014,3,,,2017-02-14 18:16:40,2017-02-15 18:16:40
r0000000000000000000000000015,o0000000000000000000000000015,4,,,2018-08-02 20:01:57,2018-08-03 20:01:57
r0000000000000000000000000016,o0000000000000000000000000016,5,,,2018-04-01 04:32:26,2018-04-02 04:32:26
r0000000000000000000000000017,o0000000000000000000000000017,1,,,2017-04-12 06:33:00,2017-04-13 06:33:00
r0000000000000000000000000018,o0000000000000000000000000018,1,,,2017-04-13 17:51:28,2017-04-14 17:51:28
r0000000000000000000000000019,o0000000000000000000000000019,3,,,2018-07-23 13:12:07,2018-07-24 13:12:07
r0000000000000000000000000020,o0000000000000000000000000020,3,,,2018-07-23 03:52:36,2018-07-24 03:52:36
r0000000000000000000000000021,o0000000000000000000000000021,5,,,2018-06-06 00:36:57,2018-06-07 00:36:57
r0000000000000000000000000022,o0000000000000000000000000022,1,,,2017-10-26 02:50:14,2017-10-27 02:50:14
r0000000000000000000000000023,o0000000000000000000000000023,4,,,2017-03-09 01:58:25,2017-03-10 01:58:25
r0000000000000000000000000024,o0000000000000000000000000024,1,,,2017-07-12 17:28:08,2017-07-13 17:28:08
r0000000000000000000000000025,o0000000000000000000000000025,4,,,2018-05-10 10:50:54,2018-05-11 10:50:54
r0000000000000000000000000026,o0000000000000000000000000026,5,,,2017-12-07 22:43:48,2017-12-08 22:43:48
r0000000000000000000000000027,o0000000000000000000000000027,5,,,2018-06-06 08:27:18,2018-06-07 08:27:18
r0000000000000000000000000028,o0000000000000000000000000028,3,,,2017-08-06 19:17:33,2017-08-07 19:17:33
r0000000000000000000000000029,o0000000000000000000000000029,5,,,2017-07-20 16:38:19,2017-07-21 16:38:19
r0000000000000000000000000030,o0000000000000000000000000030,5,,,2018-05-21 09:44:28,2018-05-22 09:44:28
r0000000000000000000000000031,o0000000000000000000000000031,4,,,2017-10-11 21:59:38,2017-10-12 21:59:38
r0000000000000000000000000032,o0000000000000000000000000032,1,,,2018-02-07 04:57:27,2018-02-08 04:57:27
r0000000000000000000000000033,o0000000000000000000000000033,4,,,2018-08-12 11:11:38,2018-08-13 11:11:38
r0000000000000000000000000034,o0000000000000000000000000034,4,,,2018-04-14 13:52:56,2018-04-15 13:52:56
r0000000000000000000000000035,o0000000000000000000000000035,4,,,2017-11-13 18:42:01,2017-11-14 18:42:01
r0000000000000000000000000036,o0000000000000000000000000036,4,,,2017-11-13 13:06:54,2017-11-14 13:06:54
r0000000000000000000000000037,o0000000000000000000000000037,3,,,2018-08-03 05:19:10,2018-08-04 05:19:10
r0000000000000000000000000038,o0000000000000000000000000038,5,,,2018-04-19 13:06:34,2018-04-20 13:06:34
r0000000000000000000000000039,o0000000000000000000000000039,4,,,2018-03-07 09:39:12,2018-03-08 09:39:12
