order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
o0000000000000000000000000000,c0000000000000000000000000000,delivered,2017-04-18 12:02:36,2017-04-19 03:04:25,2017-04-20 04:15:52,2017-04-29 18:38:29,2017-04-26 12:02:36
o0000000000000000000000000001,c0000000000000000000000000001,delivered,2018-04-23 04:09:18,2018-04-23 14:33:27,2018-04-25 03:02:45,2018-04-30 02:20:37,2018-05-09 04:09:18
o0000000000000000000000000002,c0000000000000000000000000002,delivered,2017-06-27 00:39:15,2017-06-27 08:52:53,2017-07-04 21:38:44,2017-07-18 22:46:35,2017-07-24 00:39:15
o0000000000000000000000000003,c0000000000000000000000000003,delivered,2017-04-27 15:28:01,2017-04-28 02:17:34,2017-04-28 23:38:29,2017-05-01 12:33:46,2017-05-12 15:28:01
o0000000000000000000000000004,c0000000000000000000000000004,delivered,2018-04-17 02:14:39,2018-04-17 17:12:40,2018-04-22 08:31:37,2018-04-26 23:36:53,2018-04-29 02:14:39
o0000000000000000000000000005,c0000000000000000000000000005,delivered,2017-02-16 07:18:06,2017-02-17 02:35:31,2017-02-23 01:58:23,2017-03-12 03:07:01,2017-03-18 07:18:06
o0000000000000000000000000006,c0000000000000000000000000006,delivered,2017-07-19 17:37:12,2017-07-19 23:16:40,2017-07-23 18:55:30,2017-08-03 00:21:28,2017-07-29 17:37:12
o0000000000000000000000000007,c0000000000000000000000000007,delivered,2017-12-11 23:57:50,2017-12-12 13:28:48,2017-12-20 12:37:17,2017-12-28 16:59:02,2018-01-02 23:57:50
o0000000000000000000000000008,c0000000000000000000000000008,delivered,2018-02-06 18:28:43,2018-02-07 02:45:44,2018-02-15 01:17:44,2018-03-03 11:59:36,2018-03-16 18:28:43
o0000000000000000000000000009,c0000000000000000000000000009,delivered,2018-02-23 02:02:56,2018-02-23 06:01:14,2018-02-25 12:34:47,2018-02-27 16:27:36,2018-03-05 02:02:56
o0000000000000000000000000010,c0000000000000000000000000010,delivered,2018-02-06 09:01:58,2018-02-06 23:10:02,2018-02-09 08:26:25,2018-02-11 07:30:28,2018-03-04 09:01:58
o0000000000000000000000000011,c0000000000000000000000000011,delivered,2017-05-13 17:17:52,2017-05-14 04:46:47,2017-05-15 21:16:08,2017-06-05 15:05:50,2017-06-11 17:17:52
o0000000000000000000000000012,c0000000000000000000000000012,invoiced,2017-10-30 07:34:56,2017-10-31 00:23:44,2017-11-03 12:13:15,,2017-11-07 07:34:56
o0000000000000000000000000013,c0000000000000000000000000013,delivered,2017-03-27 21:55:56,2017-03-28 01:55:57,2017-03-30 10:50:28,2017-04-24 00:28:59,2017-04-29 21:55:56
o0000000000000000000000000014,c0000000000000000000000000014,delivered,2017-02-02 09:04:46,2017-02-02 09:28:00,2017-02-07 22:52:52,2017-02-14 18:16:40,2017-03-03 09:04:46
o0000000000000000000000000015,c0000000000000000000000000015,delivered,2018-07-09 18:25:31,2018-07-10 06:14:55,2018-07-16 15:07:56,2018-08-02 20:01:57,2018-07-21 18:25:31
o0000000000000000000000000016,c0000000000000000000000000016,delivered,2018-03-20 17:11:25,2018-03-21 12:17:47,2018-03-25 09:12:28,2018-04-01 04:32:26,2018-04-14 17:11:25
o0000000000000000000000000017,c0000000000000000000000000017,delivered,2017-03-01 14:24:01,2017-03-01 16:22:29,2017-03-08 12:53:11,2017-04-12 06:33:00,2017-03-29 14:24:01
o0000000000000000000000000018,c0000000000000000000000000018,delivered,2017-03-26 04:54:19,2017-03-26 08:24:57,2017-03-27 05:51:52,2017-04-13 17:51:28,2017-04-07 04:54:19
